id,type,title,src,thumbnail
1,link,Paywall Bypass,1.jpeg,https://archive.ph/
2,link,Internet Archive,2.jpeg,https://archive.org/
3,link,Is California on Fire?,3.jpeg,http://iscaliforniaonfire.com/
4,link,This is Not an Atlas,4.jpeg,https://www.rosalux.de/fileadmin/rls_uploads/pdfs/sonst_publikationen/This_Is_Not_An_Atlas.pdf
5,link,Chess,5.jpeg,https://www.chess.com/home
6,link,Every Noise,6.jpeg,https://everynoise.com/engenremap.html
7,image,Spanish Door,7.JPG,
8,video,Skiing in the Andes,8.MP4,
9,image,"Hampi, India",9.JPG,
10,video,Jorja Smith,10.MOV,
11,image,Clouds,11.jpeg,
12,image,Snorkeling,12.jpg,
13,video,Big Sur,13.MOV,
14,video,Funny Feet,14.MOV,
15,image,Flower Market,15.JPG,
16,image,The Creation of Giraffe,16.jpeg,
17,image,Dubrovnik,17.JPG,
18,image,Argentine Sunset,18.jpeg,
19,image,Sorrento,19.jpeg,
20,image,A Small Saskas Sleeping on Some Salt,20.jpeg,
21,image,New Year's Sunrise,21.jpeg,
22,video,Grove Enjoying Bricks,22.MOV,
23,image,Flower Child,23.jpeg,
24,image,Streeeetch,24.jpeg,
25,image,Cezanne,25.jpeg,
26,image,Suspiros,26.jpeg,
27,image,Crab Hats,27.JPG,
28,image,I'm Not Touching You,28.jpeg,
29,image,Rainy Trail,29.jpeg,
30,image,Inca Trail,30.jpeg,
31,image,Disco Time,31.jpeg,
32,image,Jellies,32.jpeg,
33,image,Hampi Monkeys,33.jpeg,
34,image,Landscapes from Home,34.jpeg,